iter	RMSE
140	69125.38989
141	69111.81142
142	69100.9828
143	69089.3177
144	69061.09225
145	69050.85607
146	69044.45266
147	69034.32604
148	69027.99172
149	69017.55682
150	69007.65183
151	68974.38011
152	68954.87069
153	68946.33719
154	68938.26439
155	68928.27725
156	68908.58384
157	68900.81849
158	68891.58718
159	68866.15143
160	68857.32037
161	68848.26225
162	68839.26052
163	68831.87498
164	68813.82921
165	68806.77832
166	68800.13481
167	68782.69329
168	68763.24062
169	68755.98651
170	68747.1671
171	68737.51747
172	68729.30292
173	68720.14194
174	68702.15734
175	68695.55722
176	68678.9114
177	68671.86302
178	68656.20467
179	68649.13961
180	68642.81996
181	68625.11228
182	68610.74053
183	68604.41261
184	68596.42541
185	68590.25594
186	68581.84505
187	68564.50352
188	68558.02473
189	68549.97082
190	68534.92021
191	68519.89994
192	68510.38831
193	68504.48991
194	68497.31001
195	68491.67873
196	68482.28993
197	68472.78153
198	68461.36725
199	68454.95942
200	68448.59445
201	68443.49103
202	68435.15931
203	68429.374
204	68425.96027
205	68417.70436
206	68396.3041
207	68390.94035
208	68377.59881
209	68361.49317
210	68351.62154
211	68337.37989
212	68317.28272
213	68310.14525
214	68295.75092
215	68269.71739
216	68258.09757
217	68251.83131
218	68245.17855
219	68229.61964
220	68223.11286
221	68209.35343
222	68203.49942
223	68189.74615
224	68184.5045
225	68170.80765
226	68160.07198
227	68156.75392
228	68149.52512
229	68143.87909
230	68129.087
231	68121.42494
232	68114.19682
233	68109.316
234	68101.89697
235	68096.9231
236	68081.43631
237	68064.43254
238	68054.33625
239	68041.26012
240	68010.92327
241	68002.87692
242	67999.88185
243	67994.68321
244	67988.03676
245	67985.16241
246	67979.52625
247	67953.01718
248	67945.69673
249	67927.09077
250	67914.75534
251	67906.17788
252	67895.99364
253	67883.08162
254	67870.15381
255	67821.18876
256	67806.03695
257	67800.90731
258	67789.02779
259	67782.63195
260	67779.90186
261	67777.61719
262	67772.47226
263	67766.57948
264	67760.43768
265	67755.7517
266	67745.36462
267	67737.51705
268	67732.12486
269	67726.98764
270	67713.72245
271	67708.80701
272	67702.47787
273	67690.77423
274	67688.44165
275	67666.83058
276	67664.55425
277	67662.43879
278	67657.4531
279	67650.8782
280	67635.69272
281	67633.67787
282	67618.33513
283	67609.33319
284	67604.09484
285	67599.46216
286	67597.71504
287	67586.13071
288	67584.46623
289	67582.88087
290	67568.26106
291	67557.37225
292	67546.04085
293	67544.52905
294	67538.82015
295	67534.69053
296	67528.42476
297	67522.43567
298	67511.3767
299	67505.89479
300	67497.69623
301	67464.49789
302	67459.93522
303	67446.83138
304	67442.14356
305	67423.2637
306	67412.83134
307	67408.88282
308	67382.38475
309	67368.44665
310	67363.55974
311	67357.68029
312	67353.5678
313	67347.95666
314	67343.55492
315	67332.98236
316	67327.99472
317	67320.92413
318	67314.29796
319	67303.21728
320	67298.89908
321	67287.03683
322	67283.26193
323	67278.12684
324	67272.32729
325	67267.66381
326	67262.16298
327	67258.56588
328	67252.93074
329	67244.66938
330	67235.20002
331	67227.00196
332	67216.24684
333	67212.20304
334	67199.27539
335	67195.83247
336	67178.02011
337	67164.02271
338	67159.47735
339	67155.63787
340	67149.51435
341	67127.26507
342	67114.57111
343	67110.62906
344	67096.94586
345	67091.71502
346	67079.90454
347	67076.15755
348	67072.79525
349	67053.48981
350	67048.49387
351	67043.52097
352	67040.38866
353	67031.17897
354	67017.14271
355	67000.39776
356	66974.66877
357	66971.09776
358	66960.9641
359	66951.25683
360	66946.97476
361	66942.26618
362	66937.59722
363	66929.74028
364	66925.77678
365	66921.03779
366	66905.329
367	66881.19976
368	66871.93935
369	66862.66633
370	66857.10695
371	66852.05236
372	66823.74178
373	66814.19471
374	66808.93789
375	66805.52465
376	66802.52395
377	66786.28677
378	66776.14019
379	66771.46823
380	66766.49583
381	66761.9835
382	66753.63639
383	66750.77211
384	66741.26881
385	66730.02018
386	66727.52616
387	66723.71182
388	66719.4187
389	66710.93713
390	66706.22422
391	66700.45938
392	66699.04561
393	66693.86525
394	66675.43879
395	66670.9774
396	66664.90339
397	66653.81245
398	66645.77981
399	66642.33702
400	66632.74009
401	66628.85715
402	66621.56992
403	66612.93516
404	66603.7225
405	66595.30129
406	66589.17282
407	66552.63022
408	66548.18233
409	66544.08677
410	66534.89189
411	66527.40339
412	66515.30299
413	66509.37795
414	66502.93622
415	66494.48354
416	66488.99112
417	66481.6832
418	66477.95534
419	66465.51867
420	66451.95458
421	66449.20628
422	66444.97483
423	66435.36981
424	66426.33859
425	66420.25805
426	66405.8325
427	66401.10285
428	66397.67401
429	66386.08137
430	66381.40007
431	66374.21563
432	66326.14543
433	66317.49766
434	66310.40966
435	66305.28388
436	66300.49003
437	66296.8675
438	66295.90076
439	66290.59562
440	66270.67623
441	66263.77734
442	66255.00581
443	66250.88233
444	66233.07318
445	66219.32614
446	66215.09221
447	66208.1213
448	66204.2077
449	66200.93586
450	66199.5768
451	66190.28592
452	66177.46286
453	66170.09536
454	66158.74118
455	66155.02026
456	66134.28371
457	66118.15451
458	66111.58928
459	66105.86869
460	66097.9116
461	66091.76168
462	66087.22816
463	66084.81995
464	66076.88394
465	66067.67752
466	66050.685
467	66044.95212
468	66041.9358
469	66039.06287
470	66034.58721
471	66031.54053
472	66019.05987
473	66013.77445
474	65997.05462
475	65990.00732
476	65976.53529
477	65972.46448
478	65952.69671
479	65948.34575
480	65941.4653
481	65938.13807
482	65933.18
483	65927.32834
484	65920.92713
485	65917.67338
486	65903.47885
487	65880.68379
488	65877.93688
489	65872.7817
490	65863.91127
491	65862.52811
492	65851.40142
493	65840.3631
494	65836.5664
495	65829.36691
496	65825.07387
497	65815.462
498	65807.10026
499	65804.48296
500	65801.41538
501	65796.5726
502	65788.87643
503	65785.12846
504	65774.55961
505	65759.02791
506	65744.95666
507	65742.45701
508	65728.15669
509	65718.67558
510	65713.6539
511	65706.69516
512	65700.10497
513	65683.15128
514	65679.26702
515	65676.4458
516	65672.18302
517	65667.8787
518	65665.19145
519	65660.70086
520	65658.20655
521	65652.53421
522	65643.61761
523	65636.02946
524	65633.10379
525	65629.72932
526	65623.30506
527	65605.20599
528	65602.75626
529	65596.8686
530	65593.79609
531	65589.2101
532	65586.04844
533	65579.09774
534	65567.34082
535	65554.47845
536	65533.87255
537	65525.51855
538	65513.56585
539	65506.29313
540	65504.11193
541	65500.49763
542	65485.64801
543	65483.67091
544	65479.7042
545	65468.82421
546	65465.83956
547	65457.67871
548	65436.62628
549	65430.19308
550	65424.81151
551	65422.93539
552	65402.43882
553	65374.94228
554	65372.12531
555	65358.98576
556	65354.05316
557	65342.9968
558	65337.1045
559	65330.84989
560	65326.76721
561	65324.98831
562	65316.24332
563	65308.82974
564	65305.22736
565	65298.18484
566	65293.60715
567	65286.76739
568	65267.82894
569	65258.34965
570	65255.08102
571	65240.87124
572	65238.31235
573	65215.53063
574	65207.99895
575	65194.4331
576	65179.22843
577	65170.21542
578	65164.13998
579	65145.11965
580	65143.03148
581	65127.04452
582	65125.21244
583	65109.83756
584	65100.98182
585	65093.51538
586	65081.5999
587	65070.30594
588	65064.38547
589	65060.91755
590	65052.73932
591	65042.83993
592	65034.30797
593	65016.59712
594	65010.68494
595	64992.373
596	64978.17893
597	64971.18343
598	64954.72906
599	64946.76752
600	64939.32161
601	64933.17355
602	64927.27071
603	64911.70291
604	64907.4382
605	64902.0911
606	64898.83658
607	64893.209
608	64885.40754
609	64877.8724
610	64863.12357
611	64847.83407
612	64842.06528
613	64840.06146
614	64827.11491
615	64823.82484
616	64810.12816
617	64792.99032
618	64785.16866
619	64782.77836
620	64773.24108
621	64771.48644
622	64769.81298
623	64767.54161
624	64760.01617
625	64753.87867
626	64743.551
627	64737.94944
628	64732.3687
629	64718.36226
630	64701.70359
631	64685.50725
632	64681.72322
633	64677.38311
634	64670.52216
635	64665.38303
636	64661.32064
637	64659.69417
638	64653.51722
639	64634.43336
640	64629.57412
641	64617.19064
642	64610.12842
643	64596.83043
644	64592.51619
645	64588.43904
646	64586.89077
647	64573.91511
648	64559.90224
649	64546.91319
650	64542.83828
651	64537.23473
652	64525.57583
653	64519.06373
654	64506.75512
655	64494.11121
656	64488.57677
657	64472.18162
658	64467.63586
659	64461.76102
660	64455.12948
661	64452.16992
662	64439.76139
663	64427.78679
664	64415.76366
665	64411.92097
666	64400.60384
667	64397.47498
668	64392.20269
669	64383.2975
670	64375.47872
671	64372.81281
672	64350.48977
673	64339.68224
674	64333.74782
675	64316.65403
676	64307.14979
677	64301.99076
678	64297.80496
679	64292.36743
680	64280.80569
681	64270.85937
682	64264.10985
683	64259.78167
684	64249.45778
685	64241.88409
686	64236.58036
687	64234.67793
688	64231.62236
689	64222.71247
690	64212.62505
691	64197.61079
692	64191.29712
693	64186.35026
694	64181.90227
695	64179.86043
696	64169.99547
697	64164.57001
698	64161.97907
699	64151.22321
700	64141.80375
701	64125.57354
702	64112.49575
703	64107.79978
704	64092.44132
705	64083.44102
706	64067.58799
707	64061.45607
708	64050.11117
709	64043.50185
710	64040.33891
711	64033.79715
712	64018.10012
713	64015.39547
714	64007.50752
715	64001.19224
716	63997.93673
717	63989.32904
718	63983.87041
719	63979.66839
720	63972.39245
721	63962.07871
722	63953.57359
723	63946.92439
724	63932.47856
725	63923.304
726	63918.22298
727	63909.99606
728	63905.06708
729	63901.63906
730	63893.96774
731	63887.13562
732	63882.47909
733	63868.90884
734	63862.61099
735	63857.26483
736	63849.04894
737	63833.49536
738	63831.66243
739	63818.84771
740	63813.72377
741	63811.97676
742	63805.5237
743	63797.6552
744	63792.7158
745	63785.2009
746	63768.2434
747	63757.5062
748	63749.12262
749	63744.32541
750	63739.43482
751	63720.363
752	63718.69887
753	63714.45556
754	63707.27016
755	63704.6823
756	63698.5635
757	63688.33941
758	63685.72988
759	63666.36487
760	63660.4969
761	63657.56519
762	63652.67489
763	63637.14973
764	63626.49291
765	63622.4775
766	63619.87342
767	63612.99798
768	63597.95487
769	63588.07642
770	63577.82936
771	63571.54713
772	63551.55101
773	63544.97905
774	63530.82312
775	63524.11617
776	63511.86851
777	63504.88081
778	63495.14591
779	63489.0859
780	63480.82786
781	63474.54436
782	63469.05809
783	63462.55118
784	63450.9552
785	63446.67474
786	63438.6796
787	63419.92997
788	63402.04547
789	63395.61088
790	63392.9962
791	63385.67517
792	63376.37485
793	63366.95634
794	63363.79948
795	63358.81539
796	63356.65716
797	63343.13444
798	63330.53781
799	63315.96828
800	63307.09536
801	63294.82574
802	63288.80364
803	63280.45762
804	63271.99285
805	63263.9212
806	63258.1678
807	63256.77264
808	63250.64435
809	63241.75667
810	63236.25765
811	63233.75929
812	63222.07291
813	63213.09876
814	63210.7138
815	63203.00879
816	63197.4291
817	63188.88591
818	63185.06804
819	63171.27781
820	63167.00285
821	63165.62856
822	63158.27558
823	63145.2064
824	63132.39378
825	63127.13221
826	63122.37739
827	63116.19549
828	63104.10817
829	63100.11619
830	63082.95944
831	63080.68813
832	63076.82514
833	63074.39998
834	63066.24764
835	63064.96683
836	63059.93528
837	63043.55775
838	63038.23717
839	63032.09539
840	63020.9563
841	63006.50991
842	62995.62376
843	62977.21439
844	62971.49829
845	62968.43209
846	62965.83624
847	62964.0403
848	62959.22733
849	62956.23258
850	62954.52224
851	62942.45791
852	62941.25295
853	62935.43912
854	62933.81015
855	62931.8822
856	62924.83564
857	62914.21135
858	62907.49251
859	62899.7064
860	62893.43564
861	62883.90268
862	62881.78078
863	62880.10559
864	62872.78452
865	62862.72097
866	62855.30754
867	62848.92499
868	62841.36876
869	62835.65839
870	62829.23944
871	62824.90342
872	62820.29496
873	62809.5808
874	62804.35473
875	62799.43494
876	62781.8855
877	62775.75633
878	62768.83318
879	62747.42101
880	62743.01516
881	62736.33116
882	62730.68109
883	62723.71202
884	62706.99236
885	62695.57326
886	62676.93867
887	62660.99714
888	62653.91634
889	62638.41475
890	62631.66335
891	62617.60002
892	62603.77874
893	62600.92125
894	62591.29885
895	62585.44
896	62583.53254
897	62570.02051
898	62557.12074
899	62550.67173
900	62538.35308
901	62526.59108
902	62520.97301
903	62509.74476
904	62499.01793
905	62488.77434
906	62483.41037
907	62478.29225
908	62468.50729
909	62459.16251
910	62450.08179
911	62441.29463
912	62433.14349
913	62428.24313
914	62420.45741
915	62414.2844
916	62406.84687
917	62399.50709
918	62392.71764
919	62388.04627
920	62382.15711
921	62375.67039
922	62369.23038
923	62364.76128
924	62358.83913
925	62354.58021
926	62348.92323
927	62344.85078
928	62339.44715
929	62321.12243
930	62315.95924
931	62310.83605
932	62301.85869
933	62297.97256
934	62296.76925
935	62289.8561
936	62284.22647
937	62279.70248
938	62276.01051
939	62264.05806
940	62262.7533
941	62252.28982
942	62249.56167
943	62244.70561
944	62226.88874
945	62219.12613
946	62213.2534
947	62209.71454
948	62206.13367
949	62202.73475
950	62197.35491
951	62195.82443
952	62191.57175
953	62179.49056
954	62174.76345
955	62170.24909
956	62165.93776
957	62160.80232
958	62144.01011
959	62143.2002
960	62139.07958
961	62133.96436
962	62130.73309
963	62126.66914
964	62122.73249
965	62119.38372
966	62116.29877
967	62109.1631
968	62091.61897
969	62087.85746
970	62085.16465
971	62082.1856
972	62077.28431
973	62067.75775
974	62065.11774
975	62064.71
976	62059.48641
977	62057.79216
978	62050.804
979	62036.5501
980	62031.23892
981	62024.09948
982	62014.07259
983	62011.22184
984	62010.77143
985	62002.82579
986	62000.26874
987	61996.37809
988	61984.80889
989	61981.2629
990	61978.51961
991	61975.56748
992	61968.86518
993	61965.14621
994	61963.77437
995	61957.43208
996	61954.15774
997	61941.982
998	61939.49944
999	61935.82298
